Id,Category
0,1
1,1
2,1
3,1
4,1
5,3
6,1
7,3
8,2
9,1
10,1
11,1
12,2
13,1
14,1
15,1
16,4
17,3
18,4
19,1
20,3
21,3
22,3
23,2
24,1
25,2
26,1
27,4
28,0
29,1
30,1
31,1
32,2
33,3
34,1
35,1
36,1
37,2
38,1
39,1
40,2
41,3
42,3
43,1
44,1
45,1
46,1
47,1
48,1
49,2
50,3
51,2
52,0
53,2
54,1
55,3
56,1
57,2
58,1
59,1
60,2
61,2
62,3
63,3
64,2
65,2
66,2
67,1
68,1
69,2
70,1
71,3
72,4
73,1
74,1
75,1
76,1
77,1
78,2
79,4
80,1
81,1
82,1
83,1
84,2
85,1
86,0
87,3
88,1
89,1
90,1
91,3
92,1
93,2
94,1
95,1
96,3
97,2
98,2
99,4
100,1
101,2
102,1
103,1
104,1
105,1
106,2
107,1
108,1
109,3
110,1
111,3
112,2
113,4
114,0
115,2
116,3
117,1
118,1
119,2
120,1
121,0
122,1
123,1
124,1
125,1
126,3
127,1
128,1
129,0
130,2
131,1
132,1
133,3
134,0
135,1
136,1
137,1
138,1
139,2
140,1
141,1
142,3
143,0
144,1
145,3
146,1
147,1
148,2
149,1
150,1
151,1
152,1
153,2
154,3
155,2
156,1
157,1
158,1
159,1
160,1
161,2
162,1
163,3
164,2
165,1
166,3
167,2
168,1
169,2
170,2
171,1
172,1
173,2
174,2
175,1
176,1
177,3
178,2
179,1
180,1
181,0
182,0
183,1
184,1
185,4
186,1
187,1
188,1
189,2
190,2
191,1
192,1
193,1
194,3
195,1
196,1
197,1
198,3
199,1
200,3
201,1
202,1
203,1
204,3
205,1
206,4
207,4
208,1
209,1
210,1
211,3
212,1
213,1
214,1
215,3
216,3
217,3
218,1
219,4
220,3
221,2
222,1
223,0
224,1
225,1
226,3
227,1
228,1
229,1
230,2
231,1
232,2
233,2
234,0
235,1
236,2
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,3
245,1
246,1
247,2
248,3
249,3
250,1
251,1
252,2
253,3
254,1
255,0
256,2
257,1
258,1
259,2
260,1
261,2
262,2
263,1
264,1
265,2
266,1
267,1
268,1
269,1
270,4
271,1
272,1
273,1
274,3
275,1
276,2
277,1
278,2
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,3
287,1
288,2
289,1
290,1
291,2
292,1
293,1
294,1
295,1
296,1
297,4
298,4
299,1
300,1
301,2
302,0
303,4
304,2
305,1
306,2
307,1
308,1
309,3
310,1
311,1
312,1
313,3
314,2
315,1
316,2
317,1
318,4
319,1
320,1
321,1
322,2
323,2
324,2
325,0
326,1
327,1
328,4
329,1
330,1
331,1
332,1
333,2
334,1
335,4
336,1
337,4
338,1
339,1
340,1
341,1
342,1
343,2
344,1
345,2
346,2
347,2
348,1
349,1
350,0
351,0
352,0
353,1
354,2
355,2
356,3
357,1
358,1
359,2
360,4
361,1
362,0
363,1
364,1
365,1
366,2
367,2
368,1
369,3
370,1
371,3
372,1
373,4
374,2
375,1
376,2
377,1
378,1
379,2
380,1
381,3
382,3
383,1
384,1
385,1
386,2
387,3
388,1
389,2
390,1
391,4
392,1
393,2
394,1
395,2
396,1
397,2
398,2
399,3
400,2
401,1
402,1
403,1
404,1
405,2
406,3
407,1
408,1
409,3
410,1
411,2
412,1
413,1
414,2
415,1
416,2
417,1
418,2
419,1
420,1
421,4
422,3
423,4
424,1
425,2
426,1
427,3
428,1
429,3
430,2
431,1
432,0
433,1
434,1
435,1
436,4
437,1
438,2
439,1
440,1
441,2
442,1
443,0
444,1
445,1
446,1
447,3
448,1
449,1
450,1
451,0
452,2
453,1
454,1
455,1
456,3
457,2
458,2
459,1
460,2
461,1
462,1
463,3
464,2
465,1
466,2
467,3
468,0
469,1
470,1
471,3
472,1
473,3
474,3
475,1
476,1
477,2
478,1
479,1
480,3
481,1
482,1
483,2
484,2
485,1
486,2
487,1
488,1
489,2
490,4
491,2
492,1
493,3
494,1
495,3
496,0
497,1
498,2
499,0
500,4
501,1
502,3
503,1
504,1
505,1
506,1
507,2
508,1
509,1
510,2
511,1
512,2
513,1
514,1
515,2
516,1
517,2
518,1
519,1
520,3
521,2
522,1
523,1
524,1
525,1
526,1
527,1
528,3
529,1
530,1
531,3
532,1
533,1
534,1
535,2
536,3
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,4
545,0
546,1
547,2
548,0
549,2
550,2
551,4
552,1
553,1
554,1
555,2
556,2
557,3
558,1
559,4
560,1
561,4
562,1
563,1
564,2
565,1
566,1
567,4
568,3
569,1
570,1
571,2
572,2
573,2
574,3
575,0
576,3
577,1
578,1
579,2
580,2
581,2
582,2
583,1
584,1
585,4
586,3
587,1
588,2
589,3
590,1
591,0
592,1
593,0
594,1
595,1
596,3
597,1
598,3
599,2
600,1
601,3
602,1
603,2
604,3
605,2
606,1
607,1
608,1
609,1
610,3
611,4
612,1
613,3
614,2
615,1
616,1
617,3
618,2
619,2
620,1
621,1
622,1
623,1
624,3
625,1
626,1
627,1
628,1
629,3
630,2
631,1
632,1
633,1
634,3
635,4
636,1
637,1
638,0
639,1
640,2
641,1
642,0
643,0
644,1
645,1
646,1
647,1
648,2
649,1
650,0
651,2
652,1
653,1
654,1
655,2
656,1
657,1
658,1
659,1
660,2
661,1
662,4
663,2
664,1
665,1
666,3
667,2
668,1
669,3
670,0
671,2
672,3
673,1
674,2
675,3
676,3
677,1
678,2
679,2
680,1
681,0
682,2
683,2
684,1
685,1
686,3
687,1
688,3
689,1
690,1
691,3
692,1
693,1
694,2
695,2
696,1
697,3
698,2
699,1
700,2
701,4
702,1
703,2
704,4
705,1
706,2
707,2
708,0
709,1
710,1
711,1
712,1
713,1
714,3
715,2
716,2
717,1
718,1
719,0
720,1
721,1
722,1
723,3
724,1
725,1
726,2
727,3
728,1
729,4
730,1
731,2
732,2
733,1
734,1
735,2
736,1
737,1
738,3
739,1
740,2
741,3
742,1
743,2
744,3
745,1
746,2
747,1
748,1
749,4
750,4
751,1
752,1
753,2
754,1
755,0
756,2
757,0
758,1
759,3
760,3
761,3
762,0
763,2
764,1
765,1
766,2
767,2
768,1
769,1
770,2
771,1
772,2
773,1
774,1
775,1
776,1
777,3
778,1
779,1
780,1
781,3
782,1
783,2
784,2
785,1
786,1
787,2
788,4
789,3
790,2
791,1
792,1
793,2
794,2
795,1
796,2
797,1
798,4
799,1
800,3
801,1
802,1
803,1
804,1
805,2
806,1
807,2
808,2
809,4
810,2
811,2
